INT	STRING
292	Chï có Minh Chü m¾i thñc hi®n ðßþc
293	Minh chü không th¬ mi­n nhi®m
294	TrÕng thái không th¬ chuy¬n giao
295	#{_INFOUSR%s} khuyªn mãi #{_INFOMSG%s} X %d cµng phí nguyên bäo
296	Møc này không giao d¸ch v§t ph¦m
297	Nguyên bäo c¯ ð¸nh
298	Các hÕ ðang trong trÕng thái chiªn xa, không th¬ v§n chuy¬n
299	TrÕng thái truy«n v§n hµ t¯ng
300	#PPhong vân tª hµi, bang hµi ðÕi chiªn! Bang hµi #H%s#P hi®u l®nh cùng bang hµi #H%s#P chinh phÕt chiªn, ai s¨ là bá chü trong tr§n chiªn ngày hôm nay #H%s#P , chúng ta hãy cûng ch¶ ðþi! 
301	#IBang hµi c¤p báo ! #H%s#I bang hµi không biªt tr¶i cao ð¤t dày, ngan nhiên khiêu chiªn bang hµi chúng ta,  thïnh bang chúng nhanh chóng t§p hþp lñc lßþng chiªn ð¤u v¾i #H%s#I l¤y lÕi uy danh! 
302	#H%s#P bang hµi tiªp chiªn #H%s#P bang hµi tuyên chiªn, ðã chu¦n b¸ b¡t ð¥u chiªn ð¤u? Chiªn trß¶ng di­n biªn khó lß¶ng. Các anh hùng trong bang hµi, hãy nhanh chóng tiªn vào chiªn trß¶ng Trác Lµc !
303	#H%s#P bang hµi t× ch¯i tiªp chiªn bang hµi #H%s#P. Thiên hÕ rµng l¾n, chÆng l¨ chï có bang hµi  #H%s#P là vô ð¯i sao?
304	#IB±n bang tiªp chiªn bang hµi #H%s#I, tiªn tÕi huy«n thßþng, nh¤t xúc tÑc phát !Dß½ng ngã bang thanh uy, tñu tÕi kim thiên, chúng v¸ anh hùng hào ki®t phi quäi thßþng tr§n tÕi LÕc Dß½ng - Châu Nhiên(265,50) tiªn nh§p chiªn trß¶ng.
305	#PTrong cuµc chiªn v×a qua, #H%s#P bang khí thª ngút tr¶i, ð°ng tâm hi®p lñc ðánh #H%s#P t½i tä, giành ðßþc th¡ng lþi. Xin m¶i các anh hùng v« LÕc Dß½ng ån m×ng, c± vû cho h÷ !
306	#PTrong cuµc chiªn v×a qua, #H%s#P bang hµi, kÛ b¤t nhß nhân, b¤t ð¸ch #H%s#P bang hµi, tñ giác vô nhan tái kiªn giang ðông phø lão, cäi ð¥u hoán di®n, hôi ð¥u th± ki¬m ðích tÕi LÕc Dß½ng tây môn.
307	Các hÕ ðã r¶i khöi bang hµi, danh hi®u #Y%s#W cüa các hÕ ðã vô hi®u.
308	Bang hµi cüa các hÕ không có quy«n sÞ hæu LÕc Dß½ng thành th¸, danh hi®u #Y%s#W vô hi®u.
309	#{_INFOUSR%s} c¤u mãi trân thú #{_INFOMSG%s}, cµng hoa phí %d nguyên bäo.
